277, MBRREF03, 5/2017, 1394.3333333333333, 580.0666772018542, 0, 0, 30
278, MBRREF03, 4/2017, 1494.48, 845.8301020890661, 2, 0, 27
279, MBRREF03, 3/2017, 26562.615384615383, 157665.5876530896, 4, 0, 30
280, MBRREF03, 1/2017, 3150.285714285714, 2518.0668240958667, 0, 0, 7
281, MBRREF04, 1/2019, 140.6875, 6.246170701918096, 0, 0, 16
282, MBRREF04, 12/2018, 139.5483870967742, 7.445011738868073, 0, 0, 31
283, MBRREF04, 11/2018, 148.75, 10.44853458624701, 0, 0, 12
284, MBRREF04, 10/2018, 147.42857142857142, 18.126468976362176, 0, 0, 28
285, MBRREF04, 9/2018, 173.67741935483872, 90.65038155097965, 0, 0, 31
286, MBRREF04, 8/2018, 240.0, 83.91290127268869, 0, 0, 28
287, MBRREF04, 7/2018, 255.41935483870967, 200.62945172397662, 0, 0, 31
288, MBRREF04, 6/2018, 250.7037037037037, 102.09457610047559, 0, 0, 27
289, MBRREF04, 5/2018, 237.14814814814815, 80.49814045854693, 0, 0, 27
290, MBRREF04, 4/2018, 267.51851851851853, 89.01907133714886, 0, 0, 27
291, MBRREF04, 3/2018, 312.7692307692308, 170.31203090158513, 0, 0, 26
292, MBRREF04, 2/2018, 320.2142857142857, 424.01329187146166, 0, 0, 28
293, MBRREF04, 1/2018, 253.30769230769232, 86.91916260757674, 0, 0, 26
294, MBRREF04, 12/2017, 291.7931034482759, 254.1333282229511, 0, 0, 29
295, MBRREF04, 11/2017, 237.0, 70.07809928929294, 0, 0, 25
296, MBRREF04, 10/2017, 257.2142857142857, 135.08114058156426, 0, 0, 28
297, MBRREF04, 9/2017, 275.4761904761905, 117.84095126872649, 0, 0, 21
298, MBRREF04, 8/2017, 273.48148148148147, 104.88991878025455, 0, 0, 27
299, MBRREF04, 7/2017, 278.65625, 137.01342796733238, 0, 0, 32
300, MBRREF04, 6/2017, 232.10344827586206, 79.2750671166514, 0, 0, 29
301, MBRREF04, 5/2017, 248.86666666666667, 116.42147568210945, 0, 0, 30
302, MBRREF04, 4/2017, 250.0, 171.57081760761488, 0, 0, 22
303, MBRREF04, 3/2017, 318.27272727272725, 163.28541912606144, 0, 0, 11
304, MBRREF04, 1/2017, 236.0, 33.52424495794051, 0, 0, 4
305, MBRREF05, 1/2019, 328.75, 25.557838817083105, 0, 0, 16
306, MBRREF05, 12/2018, 318.3225806451613, 33.976150048414596, 0, 0, 31
307, MBRREF05, 11/2018, 339.4166666666667, 34.19681088932124, 0, 0, 12
308, MBRREF05, 10/2018, 347.75, 54.60321566276372, 0, 0, 28
309, MBRREF05, 9/2018, 445.5806451612903, 450.6506222681562, 0, 0, 31
310, MBRREF05, 8/2018, 502.9310344827586, 492.22938266678386, 0, 0, 29
311, MBRREF05, 7/2018, 601.1612903225806, 630.9725323883061, 0, 0, 31
312, MBRREF05, 6/2018, 545.0370370370371, 630.1275640007984, 1, 0, 28
313, MBRREF05, 5/2018, 481.48148148148147, 124.06004619428606, 0, 0, 27
314, MBRREF05, 4/2018, 534.2592592592592, 195.34865949228342, 1, 0, 28
315, MBRREF05, 3/2018, 1158.7307692307693, 1564.4991458268362, 0, 0, 26
316, MBRREF05, 2/2018, 999.7857142857143, 1586.5977763209335, 0, 0, 28
317, MBRREF05, 1/2018, 690.6538461538462, 649.550221318408, 0, 0, 26
318, MBRREF05, 12/2017, 816.5172413793103, 1020.7619330187226, 0, 0, 29
319, MBRREF05, 11/2017, 666.52, 839.9594047333478, 0, 0, 25
320, MBRREF05, 10/2017, 1119.3214285714287, 1582.7449397562386, 0, 0, 28
321, MBRREF05, 9/2017, 1517.6666666666667, 1445.0087246399983, 0, 0, 21
322, MBRREF05, 8/2017, 1260.4814814814815, 793.2646017534513, 0, 0, 27
323, MBRREF05, 7/2017, 1072.46875, 786.4518010041902, 0, 0, 32
324, MBRREF05, 6/2017, 1125.6896551724137, 602.5316121487117, 0, 0, 29
325, MBRREF05, 5/2017, 772.1666666666666, 519.2997809550857, 1, 0, 31
326, MBRREF05, 4/2017, 798.96, 942.0649162345449, 1, 0, 26
327, MBRREF05, 3/2017, 665.4545454545455, 840.7684870166879, 0, 0, 11
328, MBRREF05, 1/2017, 2430.5, 3262.142652843373, 4, 0, 8
329, MBRREF06, 1/2019, 835.5, 25.5, 0, 0, 16
330, MBRREF06, 12/2018, 825.741935483871, 27.04020592992166, 0, 0, 31
331, MBRREF06, 11/2018, 826.6666666666666, 116.7679322416904, 0, 0, 12
332, MBRREF06, 10/2018, 813.1071428571429, 97.76776908019517, 0, 0, 28
333, MBRREF06, 9/2018, 839.7741935483871, 173.5446111233304, 0, 0, 31
334, MBRREF06, 8/2018, 882.8571428571429, 188.96968901743728, 0, 0, 28
335, MBRREF06, 7/2018, 1030.7096774193549, 459.40971491714197, 0, 0, 31
336, MBRREF06, 6/2018, 993.3703703703703, 225.49765266632977, 0, 0, 27
337, MBRREF06, 5/2018, 930.8888888888889, 157.60781142513915, 0, 0, 27
338, MBRREF06, 4/2018, 1072.9259259259259, 169.32607887639256, 0, 0, 27
339, MBRREF06, 3/2018, 4531.192307692308, 5498.868121596754, 0, 0, 26
340, MBRREF06, 2/2018, 2272.1481481481483, 2796.2645530452382, 0, 0, 27
341, MBRREF06, 1/2018, 2624.3333333333335, 2643.4197232625265, 0, 0, 27
342, MBRREF06, 12/2017, 3086.4827586206898, 2945.9843726503573, 0, 0, 29
343, MBRREF06, 11/2017, 2983.32, 3730.3343562742475, 0, 0, 25
344, MBRREF06, 10/2017, 2814.9285714285716, 3248.2234907196985, 0, 0, 28
345, MBRREF06, 9/2017, 2847.6190476190477, 3728.671933511328, 0, 0, 21
346, MBRREF06, 8/2017, 4120.185185185185, 3115.885696369414, 0, 0, 27
347, MBRREF06, 7/2017, 3031.78125, 2794.266816317204, 0, 0, 32
348, MBRREF06, 6/2017, 2827.655172413793, 2976.54759655046, 0, 0, 29
349, MBRREF06, 5/2017, 3191.1, 2434.1762677546585, 0, 0, 30
350, MBRREF06, 4/2017, 2465.0, 2537.051844168739, 2, 0, 27
351, MBRREF06, 3/2017, 8013.0, 0.0, 0, 0, 1
